,name,usages
137,VLADIMIR,Russian|Serbian|Croatian|Bulgarian|Macedonian|Slovene|Medieval Slavic
138,ALENA,German|Czech|Slovak|Slovene
139,AUGUSTA,German|Italian|Portuguese|Polish|Dutch|English|Ancient Roman
140,NICOLAE,Romanian
141,KATE,English|Croatian
142,JAMIE,Scottish|English
143,NORRA,na
144,ADRIEN,French
145,MARIANNE,French|English|German|Dutch|Swedish|Norwegian|Danish|Finnish
146,KAISER,Various
147,SAN,Japanese|Dutch|Limburgish|Vietnamese|Burmese|Korean|Chinese|Chinese
148,POLA,Polish
149,AGNES,English|German|Dutch|Swedish|Norwegian|Danish|Icelandic|Ancient Greek (Latinized)
150,HAWA,Arabic
151,MATEUS,Portuguese
152,SABA,Georgian
153,BESS,English
154,JUSTINE,French|English|Dutch|German
155,JULIE,French|Danish|Norwegian|Czech|English|German|Dutch|Spanish|Portuguese
156,RAFE,English
157,MARTINE,French|Dutch|Norwegian
158,KIKI,English|German|Greek
159,LUCCA,"English (Modern, Rare)|Portuguese (Brazilian)"
160,PORTER,English
161,CASTOR,Greek Mythology (Latinized)
162,BLUE,English (Rare)|English
163,LUCREZIA,Italian
164,ABEL,English|French|Spanish|Portuguese|Georgian|Biblical|Biblical Latin|Biblical Greek
165,EBENEZER,Biblical
166,JONES,English|English|Welsh
167,ZANA,Slovene|Croatian|Persian|Albanian|Lithuanian (Modern)|Kurdish|Croatian|Bosnian|Serbian
168,DENIS,French|Russian|English|German|Czech|Slovak|Slovene|Romanian|Croatian
169,JULIO,Spanish
170,AIME,French|Japanese
171,MOURAD,Arabic (Maghrebi)
172,MARX,"Medieval German|East Frisian (Archaic)|Medieval Jewish|English (American, Modern, Rare)|Alsatian (Archaic)"
173,FLINT,English
174,LIMA,Chinese
175,ISIDRO,Spanish
176,MARIAMA,Western African|Bissau-Guinean
177,DALI,Spanish|English|Georgian Mythology|Chinese|English|Spanish|Medieval Slavic
178,LISA,English|German|Dutch|Swedish|Norwegian|Danish|Italian
179,CHICAGO,Algonquin
180,MILLY,Swedish|Norwegian|English
181,GWEN,Welsh|English
182,TEXAS,English
183,MARCELLE,French
184,FERDINAND,German|French|Dutch|English|Czech|Slovak|Slovene|Croatian|Ancient Germanic
185,MATY,na
186,BRADEN,English|Irish
187,HELEN,English|Swedish|Norwegian|Danish|Greek Mythology (Anglicized)
188,MAGGIE,English
189,LILIANE,French
190,STEVE,English
191,GARLAND,English
192,MANI,Hinduism|Tamil|Indian|Malayalam|Telugu|Kannada|Persian
193,NOIRE,na
194,HAPPY,English (Rare)
195,PREM,Indian|Hindi|Marathi|Tamil|Telugu|Kannada|Malayalam|Nepali
196,COURT,English
197,SYA,na
198,ANTONINO,Italian
199,KARA,English|Ottoman Turkish
200,TROY,English
201,ANGELI,"Filipino|English (American, Modern, Rare)"
202,DAVID,English|Hebrew|French|Scottish|Spanish|Portuguese|German|Swedish|Norwegian|Danish|Dutch|Czech|Slovene|Russian|Croatian|Serbian|Macedonian|Romanian|Biblical|Biblical Latin
203,JEANETTE,French|English|Danish|Swedish|Norwegian|Dutch
204,SANG,Korean
205,MILAN,Czech|Slovak|Russian|Serbian|Croatian|Slovene|Bulgarian|Macedonian
206,FIONA,Scottish|English
207,BARBARA,English|Italian|French|German|Polish|Hungarian|Slovene|Croatian|Swedish|Danish|Norwegian|Late Roman
208,PEDRO,Spanish|Portuguese
209,ISIS,Egyptian Mythology (Hellenized)
210,NIAN,Chinese
211,RAYMOND,English|French
212,TENZING,Tibetan
213,SHEPHERD,English|English
214,SADIE,English
215,GEORGE,English|Romanian
216,VAL,English
217,EFRAIN,Spanish
218,KLAUS,German|Danish|Norwegian|Finnish
219,SAFI,Arabic
220,MICKEY,English
221,MONTRE,na
222,DIEGO,Spanish
223,REED,English
224,CHEN,Chinese|Hebrew
225,HIROSHI,Japanese
226,KAROLINA,Polish|Swedish|Norwegian|Danish|Hungarian|Slovene|Croatian|Macedonian|Lithuanian|German
227,ANNELIESE,German|Dutch
228,SOPHIA,English|Greek|German|Ancient Greek
229,ARABELLA,English
230,SAMY,French
231,MARITZA,Spanish (Latin American)
232,CASPER,Dutch|Swedish|Norwegian|Danish
233,BAYLOR,English
234,JOANNE,English|French
235,LALITA,Hinduism|Indian|Hindi|Marathi
236,BERNICE,English|Biblical|Biblical Latin
237,DIVA,English (Rare)|Sanskrit|Hindi|Indian|Hinduism|Nepali|Marathi|Bengali|Gujarati|Punjabi|Tamil|Telugu|Kannada|Malayalam|Croatian
238,CRISTAL,English
239,KHALIL,Arabic
240,GABRIEL,French|Spanish|Portuguese|German|Swedish|Norwegian|Danish|Finnish|Catalan|English|Romanian|Polish|Czech|Slovak|Georgian|Biblical|Biblical Latin|Biblical Greek
241,MATIAS,Finnish|Portuguese
242,JACQUES,French
243,MADELEINE,French|English|Swedish
244,SIBYLLA,Greek|German|Swedish|Late Roman|Late Greek
245,TRICIA,English
246,PARIS,Greek Mythology|Various
247,ROOSEVELT,English
248,BALTHAZAR,Judeo-Christian Legend
249,CASE,English
250,MYRA,English
251,SHAW,English (Rare)|Scottish
252,LARRY,English
253,EMERSON,English
254,TIM,English|German|Dutch|Slovene|Swedish|Norwegian|Danish
255,JO,English|German|Dutch|Norwegian
256,FRED,English|Dutch|German|French|Portuguese
257,TIAN,Slovene
258,GRAY,English
259,COPPER,English
260,HOLLY,English
261,MOE,English|Japanese
262,NORMA,English|Italian|Literature
263,ANNIE,English|French|Dutch
264,WARD,English
265,OSCAR,English|Irish|Portuguese (Brazilian)|Italian|Swedish|Norwegian|Danish|Dutch|French|Irish Mythology
266,ANTHONY,English
267,CINDY,English
268,ARCHIE,Scottish|English
269,VIOLETTE,French
270,MIRACLE,English (Modern)
271,KENA,Spanish|English (Rare)
272,VINCENT,English|French|Dutch|Danish|Swedish|Slovak
273,MALIK,Arabic|Native American|Greenlandic
274,NESTOR,Greek Mythology|Russian
275,KITTY,English
276,PAGE,English
277,JAMELA,na
278,ROYALE,English (Rare)
279,WOLF,German|Jewish|English (Rare)|Ancient Germanic
280,IRISH,English|Filipino
281,AMINATA,Western African
282,MEDINA,English|Arabic|Bosnian|Various|Spanish|English|Spanish|Portuguese|Italian|German|Dutch
283,RON,English|Hebrew
284,FRANCES,English
285,WEST,English|English|German|Anglo-Saxon|Old High German|Old Dutch
286,ANNA,English|Italian|German|Dutch|Swedish|Norwegian|Danish|Finnish|Estonian|Latvian|Greek|Hungarian|Polish|Russian|Ukrainian|Belarusian|Czech|Slovak|Bulgarian|Icelandic|Faroese|Catalan|Occitan|Breton|Biblical|Old Church Slavic|Biblical Latin|Biblical Greek
287,TODD,English
288,YASMIN,Persian|Arabic|English (Modern)
289,REBECCA,English|Italian|Swedish|Biblical|Biblical Latin
290,MARIE,French|Czech|German|English|Swedish|Norwegian|Danish
291,BOB,English|Dutch
292,SVEN,Swedish|Norwegian|Danish|German|Dutch
293,ADAM,English|French|German|Dutch|Swedish|Norwegian|Danish|Polish|Czech|Slovak|Russian|Ukrainian|Croatian|Serbian|Macedonian|Romanian|Catalan|Hebrew|Arabic|Georgian|Biblical|Biblical Latin|Biblical Greek|Biblical Hebrew
294,KOFI,Western African|Akan
295,EVANS,English|Welsh
296,SAHIL,Bengali (Hindu)
297,WENDY,English
298,DURRELL,African American
299,JOOD,English (Modern)
300,KABIR,Arabic|Indian|Arabic
301,AMEN,Egyptian Mythology (Anglicized)
302,RADHA,Hinduism|Indian|Telugu|Tamil|Kannada|Hindi|Marathi
303,NIXON,English (Modern)
304,KATIA,Italian|Russian|Ukrainian|Bulgarian
305,WATTS,na
306,ISIDORE,English|French|Georgian (Rare)|Jewish
307,FAITH,English
308,AMOUR,French
309,DEVINE,Irish|English
310,JOY,English
311,BILL,English
312,AWA,Hawaiian|Polish (Rare)|Maori|African
313,KABE,na
314,CALI,English (Modern)
315,CACHE,English (American)
316,MAGDA,German|Dutch|Swedish|Norwegian|Danish|Czech|Slovak|Polish|Hungarian|Croatian|Romanian|Portuguese|Greek
317,MANUELA,Spanish|Portuguese|Romanian|German|Italian
318,JACINTO,Spanish|Portuguese
319,GUSTAV,Swedish|Norwegian|Danish|German
320,KATHY,English
321,LARSEN,English|Danish
322,COURAGE,English (Rare)
323,DOUGLAS,Scottish|English
324,MARA,Biblical|Hungarian|Croatian|Serbian
325,FREDDY,English
326,KEITA,Japanese|Latvian (Modern)|Eastern African
327,RAINBOW,English (Rare)
328,NINA,Russian|Italian|English|German|French|Swedish|Norwegian|Danish|Finnish|Dutch|Polish|Slovene|Czech|Slovak|Croatian|Serbian|Native American|Quechua|Aymara|Russian
329,IO,Greek Mythology
330,IVES,History
331,JOLIE,English
332,ETIENNE,French
333,LUC,French|Welsh
334,ORION,Greek Mythology
335,ZAMORA,American (?)
336,NOVI,na
337,FANNY,English|French|Spanish
338,MY,Swedish
339,FITZGERALD,"English (American, Rare)|Haitian Creole|Irish"
340,LINETTE,English
341,MIKEY,English
342,ITALIA,Italian
343,COLETTE,French
344,KAILASH,Indian|Hindi|Marathi
345,MAURICE,English|French
346,AMY,English
347,MATHIEU,French
348,GINGER,English
349,BERTHA,German|English|Ancient Germanic
350,LIAM,Irish|English|French (Modern)|Dutch (Modern)|Swedish (Modern)
351,THOMAS,English|French|German|Dutch|Swedish|Norwegian|Danish|Greek|Biblical|Biblical Latin|Biblical Greek
352,HENRY,English
353,XIAN,Galician|Chinese|Chinese|Chinese|Chinese|Chinese|Chinese
354,TOM,English|Dutch|German|Norwegian|Danish|Swedish|Hebrew
355,RIVER,English (Modern)
356,SANTIAGO,Spanish|Portuguese
357,TONIA,English
358,FATOUMATA,Western African
359,MARS,Roman Mythology
360,ANNELIES,German|Dutch
361,NATALIE,English|German|Dutch|Swedish|Danish|Norwegian
362,BOSCO,Spanish|Italian
363,MELI,Hawaiian|Ancient Greek
364,ANN,English
365,BRIDGET,Irish|English|Irish Mythology
366,WIATT,na
367,TAREK,Arabic
368,BUSTER,English
369,PARK,Irish|Korean|English|English|Medieval English
370,JADE,English|French
371,NOURA,Arabic
372,RENARD,French (Rare)
373,LEDGER,English (Rare)
374,CONNOLLY,na
375,CONNIE,English
376,REIKO,Japanese
377,MAME,Popular Culture
378,GIULIANO,Italian
379,TANIA,English|Italian
380,LAKSHMI,Hinduism|Indian|Telugu|Kannada|Tamil|Malayalam|Marathi|Hindi
381,LYNN,English
382,RAYLA,"English (American, Modern)"
383,UNIQUE,English (Modern)
384,ELLIS,English|Welsh
385,WALDO,English|German|Ancient Germanic
386,YASMINA,Arabic
387,FLOR,Catalan|Russian|Spanish|Portuguese|Jewish|Judeo-Spanish
388,JUDEN,na
389,ASIM,Arabic|Indian|Hindi|Bengali
390,LILLIAN,English
391,TURNER,English|English
392,LAURA,English|Spanish|Italian|Portuguese|Romanian|Finnish|Estonian|Hungarian|Polish|Slovene|Croatian|Czech|Slovak|Swedish|Norwegian|Danish|German|Dutch|Lithuanian|Latvian|Late Roman
393,LISE,French|Swedish|Norwegian|Danish|English
394,MINNIE,English
395,EZEKIAL,English (Rare)
396,CURTIS,English
397,MUHAMMAD,Arabic|Urdu|Punjabi|Pashto|Bengali|Tajik|Indonesian|Malay|Avar
398,ERIKA,Swedish|Norwegian|Danish|Finnish|German|Hungarian|Czech|Slovene|Croatian|English|Italian
399,KADY,English
400,HARLEM,Various
401,VIVIANE,French
402,HAYES,English
403,WRIGHT,English
404,KELLER,American|German
405,WILLIE,English
406,CASANOVA,American (Rare)
407,AMAR,Indian|Hindi|Marathi|Bengali|Bosnian
408,MARILYN,English
409,AMER,Arabic|Bosnian
410,BARRET,English (Rare)
411,HAN,Chinese|Dutch|Medieval English|Popular Culture|English|Chinese|Korean|Chinese|Korean
412,MONTREZ,na
413,RAOUL,French|Italian
414,MAYA,Hinduism|Indian|Hindi|Marathi|English|Hebrew
415,NOEL,English
416,LOIS,English|Biblical|Biblical Latin|Biblical Greek|Galician
417,LYON,"English (Canadian, Rare)|English|French|English|French|French|English|French|English|German"
418,AVRIL,French (Rare)|English (Rare)
419,LOWELL,English
420,ANGELO,Italian
421,SOLIMAN,Arabic|Jewish
422,ELODIE,French|Louisiana Creole (Rare)|English (Rare)
423,ASHLEY,English
424,ROSS,Scottish|English
425,ZEE,English|Various
426,ISLAM,Arabic|Kazakh|Chechen|Ingush
427,SOLOMON,Biblical|English|Jewish
428,YUAN,Chinese|Japanese|Chinese|Chinese|Chinese|Chinese
429,GERALD,English|German
430,CRAIG,Scottish|English
431,SARAH,English|French|German|Hebrew|Arabic|Biblical|Biblical Hebrew
432,YOSHI,Japanese
433,BOSTON,English (American)
